Test Name,Avg Pearson,Avg Cosine,Avg KL,Avg MMD,Avg GAN-Test P-value
N,0.8177292463242015,0.8436166590069931,0.4144667858375419,0.07142106780014082,0.6132537411286775
7BA,0.5737409061632696,0.5996141262953959,0.9332806267180465,0.24971642188871768,0.23373937832475206
7IR,0.5642487258323718,0.6418116065301885,0.7612984908193492,0.19352856899713494,0.4981794093743346
7OR1,0.7324272937141083,0.759237337452202,0.5403193404713048,0.2465751846585003,0.26736205914719874
14BA,0.633548596643238,0.6796597404922734,0.6573121930334297,0.31445144539986924,1.5214918346439282e-05
14IR,0.7053578307975741,0.7289620510741437,0.6303880134109651,0.2527072382868784,0.04898428400786674
14OR1,0.7217035488936732,0.751332108157934,0.5179148708015545,0.32066720406635874,5.84594952186592e-05
21BA,0.6718563120902171,0.6966948083959501,0.6081508971156251,0.2577532800978765,0.022971604902914455
21IR,0.6797519891097527,0.7079675572258571,0.6344506222942454,0.2661601484845655,0.06425292753521368
21OR1,0.6986135306754284,0.7244488294007511,0.6740270099271561,0.30822896524367893,6.288018979634143e-05
