Test Name,Avg Pearson,Avg Cosine,Avg KL,Avg MMD,Avg GAN-Test P-value
N,0.8915977838829262,0.906044426845849,0.2633023599331759,0.013636088679018958,0.5818290768857707
7BA,0.7510275535421767,0.7659408865393366,0.5044596446499297,0.06128733419166478,0.3797900457107785
7IR,0.7011459002196738,0.7511703106066601,0.4102164115650374,0.04192530069459013,0.5108270734248018
7OR1,0.7680510332842745,0.7899937257800311,0.3884013216214692,0.0489238051539549,0.6225945610208421
14BA,0.7314733926546194,0.7641627666537826,0.4064736763162268,0.017307167414187474,0.23879599726980183
14IR,0.7288898447897573,0.7553431207323016,0.42475968045387874,0.022357283884732116,0.35690832389358335
14OR1,0.7256500493790915,0.7540872587267619,0.4183501747530471,0.03243982282141691,0.34086993277698663
21BA,0.7627721248687527,0.7816580929465974,0.39363671800044714,0.03722557047085785,0.33004163116506796
21IR,0.8029768073981927,0.8193878018059227,0.3487676522937516,0.04219587377115077,0.4765522616979831
21OR1,0.7718439225335743,0.7949707670829926,0.4322187670127816,0.02349684349164973,0.16824319805629911
